title,year,rating,genre,mood,language,imdb,description
Movie 157,2003,PG-13,romance,relaxed,Japanese,7.7,Sample description for Movie 157.
Movie 158,2004,UA,sci-fi,emotional,Tamil,7.8,Sample description for Movie 158.
Movie 159,2005,R,fantasy,thrilling,Telugu,7.9,Sample description for Movie 159.
Movie 160,2006,G,thriller,excited,Punjabi,8.0,Sample description for Movie 160.
Movie 161,2007,PG,adventure,happy,English,8.1,Sample description for Movie 161.
Movie 162,2008,PG-13,action,motivated,Hindi,8.2,Sample description for Movie 162.
Movie 163,2009,UA,comedy,scared,Korean,8.3,Sample description for Movie 163.
Movie 164,2010,R,drama,sad,Japanese,8.4,Sample description for Movie 164.
Movie 165,2011,G,horror,relaxed,Tamil,8.5,Sample description for Movie 165.
Movie 166,2012,PG,romance,emotional,Telugu,8.6,Sample description for Movie 166.
Movie 167,2013,PG-13,sci-fi,thrilling,Punjabi,8.7,Sample description for Movie 167.
Movie 168,2014,UA,fantasy,excited,English,8.8,Sample description for Movie 168.
Movie 169,2015,R,thriller,happy,Hindi,8.9,Sample description for Movie 169.
Movie 170,2016,G,adventure,motivated,Korean,9.0,Sample description for Movie 170.
Movie 171,2017,PG,action,scared,Japanese,9.1,Sample description for Movie 171.
Movie 172,2018,PG-13,comedy,sad,Tamil,9.2,Sample description for Movie 172.
Movie 173,2019,UA,drama,relaxed,Telugu,9.3,Sample description for Movie 173.
Movie 174,2020,R,horror,emotional,Punjabi,9.4,Sample description for Movie 174.
Movie 175,2021,G,romance,thrilling,English,6.0,Sample description for Movie 175.
Movie 176,2022,PG,sci-fi,excited,Hindi,6.1,Sample description for Movie 176.
Movie 177,2023,PG-13,fantasy,happy,Korean,6.2,Sample description for Movie 177.
Movie 178,2024,UA,thriller,motivated,Japanese,6.3,Sample description for Movie 178.
Movie 179,2025,R,adventure,scared,Tamil,6.4,Sample description for Movie 179.
Movie 180,1990,G,action,sad,Telugu,6.5,Sample description for Movie 180.
Movie 181,1991,PG,comedy,relaxed,Punjabi,6.6,Sample description for Movie 181.
Movie 182,1992,PG-13,drama,emotional,English,6.7,Sample description for Movie 182.
Movie 183,1993,UA,horror,thrilling,Hindi,6.8,Sample description for Movie 183.
Movie 184,1994,R,romance,excited,Korean,6.9,Sample description for Movie 184.
Movie 185,1995,G,sci-fi,happy,Japanese,7.0,Sample description for Movie 185.
Movie 186,1996,PG,fantasy,motivated,Tamil,7.1,Sample description for Movie 186.
Movie 187,1997,PG-13,thriller,scared,Telugu,7.2,Sample description for Movie 187.
Movie 188,1998,UA,adventure,sad,Punjabi,7.3,Sample description for Movie 188.
Movie 189,1999,R,action,relaxed,English,7.4,Sample description for Movie 189.
Movie 190,2000,G,comedy,emotional,Hindi,7.5,Sample description for Movie 190.
Movie 191,2001,PG,drama,thrilling,Korean,7.6,Sample description for Movie 191.
Movie 192,2002,PG-13,horror,excited,Japanese,7.7,Sample description for Movie 192.
Movie 193,2003,UA,romance,happy,Tamil,7.8,Sample description for Movie 193.
Movie 194,2004,R,sci-fi,motivated,Telugu,7.9,Sample description for Movie 194.
Movie 195,2005,G,fantasy,scared,Punjabi,8.0,Sample description for Movie 195.
Movie 196,2006,PG,thriller,sad,English,8.1,Sample description for Movie 196.
Movie 197,2007,PG-13,adventure,relaxed,Hindi,8.2,Sample description for Movie 197.
Movie 198,2008,UA,action,emotional,Korean,8.3,Sample description for Movie 198.
Movie 199,2009,R,comedy,thrilling,Japanese,8.4,Sample description for Movie 199.
Movie 200,2010,G,drama,excited,Tamil,8.5,Sample description for Movie 200.
Movie 201,2011,PG,horror,happy,Telugu,8.6,Sample description for Movie 201.
Movie 202,2012,PG-13,romance,motivated,Punjabi,8.7,Sample description for Movie 202.
Movie 203,2013,UA,sci-fi,scared,English,8.8,Sample description for Movie 203.
Movie 204,2014,R,fantasy,sad,Hindi,8.9,Sample description for Movie 204.
Movie 205,2015,G,thriller,relaxed,Korean,9.0,Sample description for Movie 205.
Movie 206,2016,PG,adventure,emotional,Japanese,9.1,Sample description for Movie 206.
Movie 207,2017,PG-13,action,thrilling,Tamil,9.2,Sample description for Movie 207.
Movie 208,2018,UA,comedy,excited,Telugu,9.3,Sample description for Movie 208.
Movie 209,2019,R,drama,happy,Punjabi,9.4,Sample description for Movie 209.
Movie 210,2020,G,horror,motivated,English,6.0,Sample description for Movie 210.
Movie 211,2021,PG,romance,scared,Hindi,6.1,Sample description for Movie 211.
Movie 212,2022,PG-13,sci-fi,sad,Korean,6.2,Sample description for Movie 212.
Movie 213,2023,UA,fantasy,relaxed,Japanese,6.3,Sample description for Movie 213.
Movie 214,2024,R,thriller,emotional,Tamil,6.4,Sample description for Movie 214.
Movie 215,2025,G,adventure,thrilling,Telugu,6.5,Sample description for Movie 215.
Movie 216,1990,PG,action,excited,Punjabi,6.6,Sample description for Movie 216.
Movie 217,1991,PG-13,comedy,happy,English,6.7,Sample description for Movie 217.
Movie 218,1992,UA,drama,motivated,Hindi,6.8,Sample description for Movie 218.
Movie 219,1993,R,horror,scared,Korean,6.9,Sample description for Movie 219.
Movie 220,1994,G,romance,sad,Japanese,7.0,Sample description for Movie 220.
Movie 221,1995,PG,sci-fi,relaxed,Tamil,7.1,Sample description for Movie 221.
Movie 222,1996,PG-13,fantasy,emotional,Telugu,7.2,Sample description for Movie 222.
Movie 223,1997,UA,thriller,thrilling,Punjabi,7.3,Sample description for Movie 223.
Movie 224,1998,R,adventure,excited,English,7.4,Sample description for Movie 224.
Movie 225,1999,G,action,happy,Hindi,7.5,Sample description for Movie 225.
Movie 226,2000,PG,comedy,motivated,Korean,7.6,Sample description for Movie 226.
Movie 227,2001,PG-13,drama,scared,Japanese,7.7,Sample description for Movie 227.
Movie 228,2002,UA,horror,sad,Tamil,7.8,Sample description for Movie 228.
Movie 229,2003,R,romance,relaxed,Telugu,7.9,Sample description for Movie 229.
Movie 230,2004,G,sci-fi,emotional,Punjabi,8.0,Sample description for Movie 230.
Movie 231,2005,PG,fantasy,thrilling,English,8.1,Sample description for Movie 231.
Movie 232,2006,PG-13,thriller,excited,Hindi,8.2,Sample description for Movie 232.
Movie 233,2007,UA,adventure,happy,Korean,8.3,Sample description for Movie 233.
Movie 234,2008,R,action,motivated,Japanese,8.4,Sample description for Movie 234.
Movie 235,2009,G,comedy,scared,Tamil,8.5,Sample description for Movie 235.
Movie 236,2010,PG,drama,sad,Telugu,8.6,Sample description for Movie 236.
Movie 237,2011,PG-13,horror,relaxed,Punjabi,8.7,Sample description for Movie 237.
Movie 238,2012,UA,romance,emotional,English,8.8,Sample description for Movie 238.
Movie 239,2013,R,sci-fi,thrilling,Hindi,8.9,Sample description for Movie 239.
Movie 240,2014,G,fantasy,excited,Korean,9.0,Sample description for Movie 240.
Movie 241,2015,PG,thriller,happy,Japanese,9.1,Sample description for Movie 241.
Movie 242,2016,PG-13,adventure,motivated,Tamil,9.2,Sample description for Movie 242.
Movie 243,2017,UA,action,scared,Telugu,9.3,Sample description for Movie 243.
Movie 244,2018,R,comedy,sad,Punjabi,9.4,Sample description for Movie 244.
Movie 245,2019,G,drama,relaxed,English,6.0,Sample description for Movie 245.
Movie 246,2020,PG,horror,emotional,Hindi,6.1,Sample description for Movie 246.
Movie 247,2021,PG-13,romance,thrilling,Korean,6.2,Sample description for Movie 247.
Movie 248,2022,UA,sci-fi,excited,Japanese,6.3,Sample description for Movie 248.
Movie 249,2023,R,fantasy,happy,Tamil,6.4,Sample description for Movie 249.
Movie 250,2024,G,thriller,motivated,Telugu,6.5,Sample description for Movie 250.
Movie 251,2025,PG,adventure,scared,Punjabi,6.6,Sample description for Movie 251.
Movie 252,1990,PG-13,action,sad,English,6.7,Sample description for Movie 252.
Movie 253,1991,UA,comedy,relaxed,Hindi,6.8,Sample description for Movie 253.
Movie 254,1992,R,drama,emotional,Korean,6.9,Sample description for Movie 254.
Movie 255,1993,G,horror,thrilling,Japanese,7.0,Sample description for Movie 255.
Movie 256,1994,PG,romance,excited,Tamil,7.1,Sample description for Movie 256.
Movie 257,1995,PG-13,sci-fi,happy,Telugu,7.2,Sample description for Movie 257.
Movie 258,1996,UA,fantasy,motivated,Punjabi,7.3,Sample description for Movie 258.
Movie 259,1997,R,thriller,scared,English,7.4,Sample description for Movie 259.
Movie 260,1998,G,adventure,sad,Hindi,7.5,Sample description for Movie 260.
Movie 261,1999,PG,action,relaxed,Korean,7.6,Sample description for Movie 261.
Movie 262,2000,PG-13,comedy,emotional,Japanese,7.7,Sample description for Movie 262.
Movie 263,2001,UA,drama,thrilling,Tamil,7.8,Sample description for Movie 263.
Movie 264,2002,R,horror,excited,Telugu,7.9,Sample description for Movie 264.
Movie 265,2003,G,romance,happy,Punjabi,8.0,Sample description for Movie 265.
Movie 266,2004,PG,sci-fi,motivated,English,8.1,Sample description for Movie 266.
Movie 267,2005,PG-13,fantasy,scared,Hindi,8.2,Sample description for Movie 267.
Movie 268,2006,UA,thriller,sad,Korean,8.3,Sample description for Movie 268.
Movie 269,2007,R,adventure,relaxed,Japanese,8.4,Sample description for Movie 269.
Movie 270,2008,G,action,emotional,Tamil,8.5,Sample description for Movie 270.
Movie 271,2009,PG,comedy,thrilling,Telugu,8.6,Sample description for Movie 271.
Movie 272,2010,PG-13,drama,excited,Punjabi,8.7,Sample description for Movie 272.
Movie 273,2011,UA,horror,happy,English,8.8,Sample description for Movie 273.
Movie 274,2012,R,romance,motivated,Hindi,8.9,Sample description for Movie 274.
Movie 275,2013,G,sci-fi,scared,Korean,9.0,Sample description for Movie 275.
Movie 276,2014,PG,fantasy,sad,Japanese,9.1,Sample description for Movie 276.
Movie 277,2015,PG-13,thriller,relaxed,Tamil,9.2,Sample description for Movie 277.
Movie 278,2016,UA,adventure,emotional,Telugu,9.3,Sample description for Movie 278.
Movie 279,2017,R,action,thrilling,Punjabi,9.4,Sample description for Movie 279.
Movie 280,2018,G,comedy,excited,English,6.0,Sample description for Movie 280.
Movie 281,2019,PG,drama,happy,Hindi,6.1,Sample description for Movie 281.
Movie 282,2020,PG-13,horror,motivated,Korean,6.2,Sample description for Movie 282.
Movie 283,2021,UA,romance,scared,Japanese,6.3,Sample description for Movie 283.
Movie 284,2022,R,sci-fi,sad,Tamil,6.4,Sample description for Movie 284.
Movie 285,2023,G,fantasy,relaxed,Telugu,6.5,Sample description for Movie 285.
Movie 286,2024,PG,thriller,emotional,Punjabi,6.6,Sample description for Movie 286.
Movie 287,2025,PG-13,adventure,thrilling,English,6.7,Sample description for Movie 287.
Movie 288,1990,UA,action,excited,Hindi,6.8,Sample description for Movie 288.
Movie 289,1991,R,comedy,happy,Korean,6.9,Sample description for Movie 289.
Movie 290,1992,G,drama,motivated,Japanese,7.0,Sample description for Movie 290.
Movie 291,1993,PG,horror,scared,Tamil,7.1,Sample description for Movie 291.
Movie 292,1994,PG-13,romance,sad,Telugu,7.2,Sample description for Movie 292.
Movie 293,1995,UA,sci-fi,relaxed,Punjabi,7.3,Sample description for Movie 293.
Movie 294,1996,R,fantasy,emotional,English,7.4,Sample description for Movie 294.
Movie 295,1997,G,thriller,thrilling,Hindi,7.5,Sample description for Movie 295.
Movie 296,1998,PG,adventure,excited,Korean,7.6,Sample description for Movie 296.
Movie 297,1999,PG-13,action,happy,Japanese,7.7,Sample description for Movie 297.
Movie 298,2000,UA,comedy,motivated,Tamil,7.8,Sample description for Movie 298.
Movie 299,2001,R,drama,scared,Telugu,7.9,Sample description for Movie 299.
Movie 300,2002,G,horror,sad,Punjabi,8.0,Sample description for Movie 300.
Movie 301,2003,PG,romance,relaxed,English,8.1,Sample description for Movie 301.
Movie 302,2004,PG-13,sci-fi,emotional,Hindi,8.2,Sample description for Movie 302.
Movie 303,2005,UA,fantasy,thrilling,Korean,8.3,Sample description for Movie 303.
Movie 304,2006,R,thriller,excited,Japanese,8.4,Sample description for Movie 304.
Movie 305,2007,G,adventure,happy,Tamil,8.5,Sample description for Movie 305.
Movie 306,2008,PG,action,motivated,Telugu,8.6,Sample description for Movie 306.
Movie 307,2009,PG-13,comedy,scared,Punjabi,8.7,Sample description for Movie 307.
Movie 308,2010,UA,drama,sad,English,8.8,Sample description for Movie 308.
Movie 309,2011,R,horror,relaxed,Hindi,8.9,Sample description for Movie 309.
Movie 310,2012,G,romance,emotional,Korean,9.0,Sample description for Movie 310.
Movie 311,2013,PG,sci-fi,thrilling,Japanese,9.1,Sample description for Movie 311.
Movie 312,2014,PG-13,fantasy,excited,Tamil,9.2,Sample description for Movie 312.
Movie 313,2015,UA,thriller,happy,Telugu,9.3,Sample description for Movie 313.
Movie 314,2016,R,adventure,motivated,Punjabi,9.4,Sample description for Movie 314.
Movie 315,2017,G,action,scared,English,6.0,Sample description for Movie 315.
Movie 316,2018,PG,comedy,sad,Hindi,6.1,Sample description for Movie 316.
Movie 317,2019,PG-13,drama,relaxed,Korean,6.2,Sample description for Movie 317.
Movie 318,2020,UA,horror,emotional,Japanese,6.3,Sample description for Movie 318.
Movie 319,2021,R,romance,thrilling,Tamil,6.4,Sample description for Movie 319.
Movie 320,2022,G,sci-fi,excited,Telugu,6.5,Sample description for Movie 320.
Movie 321,2023,PG,fantasy,happy,Punjabi,6.6,Sample description for Movie 321.
Movie 322,2024,PG-13,thriller,motivated,English,6.7,Sample description for Movie 322.
Movie 323,2025,UA,adventure,scared,Hindi,6.8,Sample description for Movie 323.
Movie 324,1990,R,action,sad,Korean,6.9,Sample description for Movie 324.
Movie 325,1991,G,comedy,relaxed,Japanese,7.0,Sample description for Movie 325.
Movie 326,1992,PG,drama,emotional,Tamil,7.1,Sample description for Movie 326.
Movie 327,1993,PG-13,horror,thrilling,Telugu,7.2,Sample description for Movie 327.
Movie 328,1994,UA,romance,excited,Punjabi,7.3,Sample description for Movie 328.
Movie 329,1995,R,sci-fi,happy,English,7.4,Sample description for Movie 329.
Movie 330,1996,G,fantasy,motivated,Hindi,7.5,Sample description for Movie 330.
Movie 331,1997,PG,thriller,scared,Korean,7.6,Sample description for Movie 331.
Movie 332,1998,PG-13,adventure,sad,Japanese,7.7,Sample description for Movie 332.
Movie 333,1999,UA,action,relaxed,Tamil,7.8,Sample description for Movie 333.
Movie 334,2000,R,comedy,emotional,Telugu,7.9,Sample description for Movie 334.
Movie 335,2001,G,drama,thrilling,Punjabi,8.0,Sample description for Movie 335.
Movie 336,2002,PG,horror,excited,English,8.1,Sample description for Movie 336.
Movie 337,2003,PG-13,romance,happy,Hindi,8.2,Sample description for Movie 337.
Movie 338,2004,UA,sci-fi,motivated,Korean,8.3,Sample description for Movie 338.
Movie 339,2005,R,fantasy,scared,Japanese,8.4,Sample description for Movie 339.
Movie 340,2006,G,thriller,sad,Tamil,8.5,Sample description for Movie 340.
Movie 341,2007,PG,adventure,relaxed,Telugu,8.6,Sample description for Movie 341.
Movie 342,2008,PG-13,action,emotional,Punjabi,8.7,Sample description for Movie 342.
Movie 343,2009,UA,comedy,thrilling,English,8.8,Sample description for Movie 343.
Movie 344,2010,R,drama,excited,Hindi,8.9,Sample description for Movie 344.
Movie 345,2011,G,horror,happy,Korean,9.0,Sample description for Movie 345.
Movie 346,2012,PG,romance,motivated,Japanese,9.1,Sample description for Movie 346.
Movie 347,2013,PG-13,sci-fi,scared,Tamil,9.2,Sample description for Movie 347.
Movie 348,2014,UA,fantasy,sad,Telugu,9.3,Sample description for Movie 348.
